600 600
60000 60000 50000000
107 395 0 42
215 149 0 54
391 547 0 58
318 131 0 85
481 440 0 85
24 594 0 41
172 208 0 4
518 122 0 79
343 146 0 61
307 216 0 11
428 262 0 57
31 78 0 98
134 163 0 76
384 355 0 22
575 350 0 8
292 519 0 34
23 67 0 60
135 275 0 38
415 172 0 33
462 561 0 88
192 545 0 8
311 531 0 21
449 62 0 39
251 247 0 54
213 126 0 31
177 528 0 37
322 444 0 96
69 383 0 22
273 232 0 60
237 579 0 57
145 364 0 20
402 166 0 2
404 459 0 1
551 537 0 99
244 590 0 87
181 271 0 5
154 598 0 2
572 205 0 57
494 41 0 27
353 461 0 31
576 28 0 48
493 465 0 91
266 523 0 6
144 99 0 47
588 344 0 66
415 405 0 90
521 189 0 28
214 423 0 78
197 244 0 93
523 345 0 82
513 304 0 37
355 571 0 61
116 419 0 72
232 132 0 35
387 158 0 56
509 94 0 3
437 482 0 41
256 404 0 5
65 357 0 71
84 417 0 42
573 261 0 10
123 17 0 22
212 593 0 77
71 349 0 35
349 574 0 14
3 331 0 18
512 448 0 89
527 310 0 14
312 429 0 83
245 195 0 6
591 250 0 74
482 431 0 43
293 240 0 68
336 132 0 73
553 157 0 94
230 512 0 87
585 353 0 76
108 221 0 68
443 249 0 8
88 79 0 0
43 87 0 32
95 48 0 84
143 480 0 97
368 556 0 85
174 454 0 70
295 466 0 82
548 284 0 19
188 7 0 35
467 77 0 85
485 173 0 23
287 43 0 81
539 531 0 84
43 301 0 30
133 567 0 69
456 419 0 84
8 460 0 83
481 495 0 69
37 559 0 51
399 477 0 71
223 501 0 26
514 171 0 67
377 361 0 98
212 352 0 83
586 442 0 36
94 131 0 29
182 401 0 85
203 240 0 61
224 64 0 65
64 218 0 37
567 410 0 92
28 312 0 12
297 464 0 2
61 176 0 24
266 405 0 82
4 53 0 43
46 218 0 69
180 483 0 42
305 434 0 41
464 453 0 81
509 344 0 9
60 460 0 25
577 550 0 67
72 136 0 88
381 19 0 46
182 486 0 75
331 30 0 86
439 50 0 59
591 127 0 68
487 389 0 48
577 476 0 85
52 408 0 80
48 332 0 93
12 543 0 22
273 441 0 55
441 440 0 68
507 86 0 82
304 58 0 24
142 182 0 74
382 357 0 90
292 66 0 55
128 27 0 34
574 305 0 28
86 406 0 87
540 157 0 66
410 207 0 30
300 241 0 71
139 144 0 2
19 507 0 40
288 437 0 82
110 197 0 7
496 112 0 98
597 91 0 58
321 365 0 28
296 216 0 16
