150 100 3 300 11
114 55
31 55
135 44
145 27 725
70 63 1045
146 3 1752
148 67 766
121 84 1985
5 69 1147
139 68 1184
13 19 1015
44 97 1356
113 3 885
51 94 1109
106 12 692
135 78 806
68 15 598
61 71 1315
73 20 1780
123 73 1744
101 62 593
133 88 355
125 17 1359
123 22 1999
107 80 381
108 71 425
134 19 1058
81 32 1407
70 82 1656
118 75 1887
44 52 1394
50 29 1677
33 19 323
93 68 1334
138 22 1871
10 89 1421
14 15 392
91 94 1083
22 67 1225
34 61 209
54 84 312
42 70 1925
147 38 1140
79 6 704
74 83 1303
16 73 923
139 13 1459
92 82 1433
85 17 532
91 25 1994
85 7 674
125 56 1362
77 96 339
76 16 1664
96 57 1195
100 98 742
10 46 1069
33 8 614
23 44 1011
3 39 1668
30 90 253
97 28 1940
87 76 783
63 96 1794
20 88 520
131 54 1613
77 35 1985
18 20 1093
87 26 758
36 77 439
91 55 1380
51 3 375
130 70 1805
40 47 552
132 49 1348
48 37 640
148 60 203
146 95 482
115 9 543
10 11 1519
16 83 1356
124 85 1005
69 34 1600
64 64 1998
91 9 1322
147 86 1171
21 1 1203
100 38 1759
49 78 1135
47 25 1641
69 91 807
29 15 1390
76 76 1068
15 43 414
128 56 1463
95 2 1224
68 98 420
18 28 1335
119 26 675
2 44 729
125 81 1154
141 20 1901
127 88 1040
125 35 1193
46 42 903
136 30 1424
51 46 1638
33 90 1135
128 94 687
74 33 538
39 61 1260
135 36 1562
117 12 384
91 63 1227
36 37 1266
99 8 1159
148 16 1064
10 15 1973
6 33 261
77 57 1746
34 12 483
115 82 1558
36 18 422
27 57 1512
60 5 704
90 41 1629
29 11 442
56 71 1022
13 58 272
116 34 1459
105 46 1180
125 42 1830
61 80 1246
112 23 1862
87 98 293
82 16 1938
66 43 1862
9 63 754
68 66 369
104 34 1668
140 51 531
76 38 879
44 82 1622
108 40 1164
63 8 802
97 81 626
67 73 1498
88 7 529
7 87 1377
95 77 1879
7 54 1161
39 2 500
12 72 671
83 56 1306
107 95 1863
105 67 1327
98 92 777
16 78 1831
138 77 726
60 86 614
18 56 595
100 48 1505
72 16 237
67 46 334
143 95 638
135 95 479
130 40 1801
25 64 367
15 69 1221
64 48 214
22 33 489
74 90 1771
96 71 1904
16 91 236
122 14 1150
77 62 759
44 31 332
58 52 626
19 15 1963
40 40 1671
2 53 636
59 68 314
40 65 598
28 78 1330
53 6 1633
26 70 1691
39 76 1933
100 74 1083
109 67 1467
16 59 1764
19 97 604
140 81 1219
14 52 594
136 27 1893
54 35 1841
38 24 529
65 2 769
115 91 1171
125 6 227
14 6 1638
60 41 606
109 55 281
19 38 1585
53 9 824
105 75 1119
82 68 484
19 78 418
81 90 898
92 51 1368
80 76 1079
145 66 1035
18 9 1364
134 41 1963
128 36 526
8 39 455
84 43 681
34 29 606
69 49 494
125 13 546
110 61 512
117 20 528
35 71 1577
71 30 1285
39 79 679
74 51 642
60 58 357
92 91 1650
29 39 1734
99 52 1067
34 66 782
130 78 475
42 92 1101
118 71 458
82 49 1688
72 57 229
91 86 1359
45 34 1825
144 83 1527
30 47 813
59 26 1068
18 12 1847
116 2 1168
6 90 1909
8 36 241
79 10 998
30 30 769
56 74 721
3 91 294
73 74 1512
88 22 421
104 29 1147
44 4 624
81 36 527
3 66 1487
83 60 729
64 31 1578
47 7 1583
2 78 351
107 6 1191
85 50 420
18 47 344
3 18 967
107 15 584
105 9 1488
140 4 282
116 5 404
32 40 213
48 54 551
11 34 1054
42 25 1798
7 17 1739
116 15 1839
17 51 1139
2 22 1733
90 2 1342
84 35 1373
133 65 1613
132 26 541
130 43 659
15 96 650
13 55 1675
77 85 1415
72 47 1045
87 55 1453
59 45 1516
54 1 538
78 32 967
12 92 1097
50 83 1622
47 68 347
49 42 1574
41 88 1409
81 28 1734
7 76 1692
100 5 650
107 89 516
101 91 1752
126 77 471
75 30 655
44 7 1929
54 53 1747
122 37 1417
55 40 1602
3 40 1058
C 40 1058
5 30 529
6 30 529
9 30 529
A 30 529
7 10 52
B 10 52
D 10 52
E 10 52
F 19 52
