500 400 4 2019 11
261 378
37 6
309 206
210 199
353 326 535
180 311 531
179 111 535
176 264 533
214 161 526
411 304 536
349 206 530
23 394 527
5 267 531
184 349 536
142 374 529
127 43 531
154 60 530
20 208 532
298 180 526
36 120 527
466 99 528
334 325 535
35 265 535
393 142 527
17 394 530
462 28 533
175 71 529
234 207 532
252 264 536
439 178 531
44 372 530
179 172 532
346 244 527
195 75 530
356 207 534
167 4 531
77 267 530
141 287 527
409 187 533
314 67 527
452 75 528
145 280 530
369 268 532
380 94 530
299 382 536
427 300 526
411 69 533
232 290 534
78 320 528
124 214 536
452 27 530
483 192 536
112 170 534
187 236 529
482 155 530
463 272 534
68 383 533
361 320 536
247 178 531
221 55 535
102 197 527
299 341 527
4 250 531
494 253 529
94 180 532
163 198 529
170 90 527
227 46 532
124 74 528
227 190 526
270 310 529
457 70 527
98 147 531
134 367 526
141 58 529
192 215 529
208 68 536
60 42 536
386 297 530
281 141 533
452 220 527
222 180 535
21 107 529
239 53 527
402 30 529
34 71 536
123 343 533
451 16 529
44 169 533
190 58 530
357 252 526
428 143 530
450 332 533
235 138 528
40 373 526
410 124 526
304 283 532
205 127 531
16 3 531
419 144 526
90 262 527
424 303 531
56 377 533
462 65 529
141 308 531
187 330 527
136 105 527
323 307 530
425 122 529
262 330 529
427 27 531
330 117 533
74 91 527
268 284 529
158 271 532
116 53 531
484 261 527
208 227 527
454 212 535
346 396 531
93 233 527
180 29 527
430 246 531
413 92 532
459 292 532
376 133 526
439 248 527
383 221 527
91 176 531
189 299 534
398 181 528
358 141 527
121 380 532
226 147 531
33 58 530
285 197 535
273 63 528
397 323 530
142 166 526
470 73 532
301 194 535
359 13 534
187 83 530
211 206 530
239 171 528
330 282 530
372 242 536
327 330 532
281 3 533
426 174 536
49 119 534
488 338 535
322 137 527
325 80 529
227 51 533
409 128 530
60 248 533
310 79 532
339 376 533
136 64 526
68 207 534
221 131 528
300 198 532
187 8 530
148 39 530
329 81 533
475 295 533
129 294 534
116 189 527
102 121 535
113 150 528
45 207 533
259 6 534
211 89 535
400 296 532
171 131 527
83 9 534
473 127 530
171 349 534
476 86 535
60 159 528
338 60 533
91 84 532
363 58 528
450 212 531
430 181 536
105 353 527
497 17 529
80 110 526
383 297 533
448 224 534
472 122 535
312 51 532
480 66 527
262 174 535
277 20 534
445 191 530
392 298 529
350 48 529
454 207 535
292 164 531
466 330 532
195 380 528
349 96 529
199 98 533
17 190 532
203 240 528
135 348 528
109 46 534
236 99 528
230 284 532
359 152 534
326 234 532
149 66 526
280 78 528
49 155 531
299 268 533
376 202 536
323 126 531
99 287 533
380 365 533
20 97 531
360 270 535
484 150 535
497 45 530
69 282 533
14 49 533
156 347 532
272 281 528
343 31 526
110 183 535
442 213 528
190 209 536
354 255 532
149 301 534
199 191 531
303 339 527
299 395 530
24 56 531
267 127 526
301 318 534
457 9 527
287 77 534
94 291 529
372 7 533
123 111 534
472 322 528
280 182 530
143 107 535
41 81 528
16 167 530
170 44 535
436 151 534
322 327 529
376 168 527
431 340 536
390 319 535
351 234 531
411 18 529
193 252 534
109 198 536
257 63 529
451 162 535
414 147 535
27 121 536
459 321 526
124 168 530
455 119 530
190 130 535
444 206 526
248 196 534
490 171 529
149 97 528
402 381 530
38 378 530
480 260 529
259 359 528
154 56 528
170 121 528
294 55 535
241 7 535
419 134 535
77 28 535
329 249 532
383 175 531
480 334 529
482 166 533
272 149 532
413 76 529
266 257 527
66 282 527
216 130 536
278 93 532
277 324 532
205 342 529
333 215 533
375 150 531
424 247 533
82 373 533
139 7 527
262 247 530
372 212 536
231 135 527
257 163 532
363 165 532
44 55 531
167 65 533
325 310 528
331 112 526
191 109 530
152 112 528
235 13 528
83 265 529
182 83 528
293 95 536
425 50 528
61 32 534
65 376 535
248 348 535
77 34 528
412 33 526
361 86 527
195 103 530
203 366 531
93 386 536
223 27 531
151 322 527
439 105 528
292 71 529
183 387 527
177 6 532
39 214 527
70 343 526
419 185 535
409 284 527
166 374 536
446 21 534
149 338 529
50 376 534
433 56 526
394 11 529
116 22 536
442 45 530
414 124 528
258 184 529
145 25 532
22 102 528
180 188 536
173 24 527
154 389 532
154 108 533
492 21 530
291 236 533
123 177 535
270 27 534
302 311 530
462 321 535
135 330 535
399 172 532
180 352 536
374 232 527
420 209 526
239 211 530
450 281 531
441 317 534
201 326 530
92 295 529
384 152 527
350 16 530
418 76 532
442 90 533
332 197 535
350 277 531
349 51 528
487 11 527
210 154 526
38 160 532
74 71 527
359 389 528
476 58 531
299 255 529
394 8 531
378 89 529
472 278 527
431 192 532
13 315 529
36 114 533
204 304 534
5 295 526
281 376 531
329 297 532
28 42 531
6 247 533
83 291 527
350 195 529
346 211 533
94 337 535
427 332 528
436 220 534
138 173 528
138 313 529
474 226 534
190 53 527
302 139 530
311 195 533
318 36 531
230 141 526
124 131 534
428 277 528
453 243 529
201 292 528
231 354 536
417 298 536
235 126 530
294 232 531
218 95 529
257 96 531
134 324 526
81 12 531
237 38 535
295 188 531
373 82 532
133 65 532
366 319 529
21 254 533
371 126 530
230 348 530
186 356 527
458 43 529
181 262 526
437 336 535
418 151 535
87 31 534
388 174 527
335 328 526
261 148 533
205 285 526
75 340 526
345 65 535
367 101 530
338 217 527
98 302 535
184 171 528
193 53 532
465 304 531
49 27 534
246 305 528
491 255 527
383 291 536
154 78 526
110 4 531
496 180 527
355 337 534
275 139 534
209 11 532
229 86 526
303 238 527
39 98 531
119 275 535
473 170 526
414 25 528
120 68 527
157 134 530
109 8 536
209 187 532
308 229 529
348 237 536
73 303 526
379 302 528
380 169 534
358 116 531
90 341 531
185 111 534
138 87 535
31 121 526
383 50 529
187 48 531
465 144 533
162 11 529
25 71 532
56 246 534
139 90 527
379 46 536
121 50 530
189 16 526
230 388 536
318 373 530
153 92 534
462 342 535
415 42 529
51 89 527
299 36 534
398 291 531
132 72 528
404 372 528
448 30 528
115 195 526
220 81 527
267 369 526
307 58 535
129 310 536
152 153 526
98 360 530
64 52 536
484 394 532
284 356 528
125 364 529
496 148 532
364 254 534
343 79 532
127 223 527
453 270 531
169 253 531
7 301 527
180 37 531
106 204 536
18 322 530
114 238 528
204 141 532
371 123 531
435 226 535
32 126 527
117 104 533
109 369 529
120 107 528
319 69 531
89 93 532
222 78 535
157 167 526
490 27 534
362 193 529
468 93 534
128 163 535
76 120 529
13 57 527
463 229 534
164 191 528
214 150 536
372 357 526
124 79 536
244 177 536
150 16 530
193 304 532
388 198 534
160 18 532
6 158 536
99 376 527
410 275 534
209 129 533
2 144 531
288 86 533
427 126 533
52 266 532
404 63 532
488 183 527
167 134 534
251 42 530
33 284 531
143 67 532
119 13 526
53 250 530
6 86 527
190 296 533
334 331 528
293 154 534
303 335 528
344 35 536
457 199 528
57 206 531
61 228 527
58 345 533
240 282 531
67 386 528
4 379 532
24 331 528
87 190 529
374 270 529
189 217 536
41 75 527
80 357 533
301 105 527
