700 700 6 1960 11
536 390
145 390
632 309
682 192
205 327
442 328
685 23 300
694 473 300
570 592 300
24 489 300
652 480 300
58 132 300
208 690 300
533 23 300
240 668 300
500 84 300
633 555 300
320 104 300
287 502 300
341 137 300
576 513 300
475 436 300
625 625 300
585 120 300
577 154 300
337 455 300
565 72 300
502 89 300
133 333 300
228 469 300
582 565 300
534 654 300
365 463 300
201 573 300
132 49 300
484 440 300
156 648 300
628 474 300
105 76 300
665 343 300
473 398 300
432 5 300
593 45 300
492 669 300
271 365 300
354 371 300
197 347 300
428 74 300
281 651 300
488 430 300
478 398 300
130 425 300
695 397 300
185 588 300
451 361 300
56 359 300
568 449 300
386 470 300
211 46 300
338 152 300
162 106 300
315 15 300
569 143 300
22 356 300
693 13 300
195 675 300
539 227 300
680 618 300
179 94 300
126 616 300
548 359 300
692 25 300
86 137 300
406 184 300
170 547 300
428 391 300
239 18 300
613 496 300
455 179 300
331 138 300
344 445 300
258 172 300
426 3 300
671 111 300
65 134 300
78 512 300
586 449 300
170 584 300
313 633 300
322 238 300
299 452 300
425 64 300
691 609 300
97 3 300
469 265 300
228 549 300
579 378 300
115 443 300
220 175 300
322 643 300
135 106 300
144 374 300
540 337 300
307 85 300
393 490 300
12 398 300
693 87 300
199 440 300
179 185 300
312 206 300
574 371 300
142 659 300
625 326 300
249 386 300
293 274 300
463 419 300
637 210 300
240 326 300
152 634 300
601 662 300
347 229 300
183 430 300
634 252 300
551 85 300
429 445 300
570 603 300
264 414 300
58 373 300
112 336 300
108 687 300
233 25 300
401 600 300
82 111 300
581 527 300
123 88 300
404 509 300
161 280 300
196 339 300
424 291 300
136 73 300
367 528 300
503 319 300
409 29 300
243 489 300
325 381 300
296 632 300
569 406 300
165 644 300
692 38 300
113 674 300
301 644 300
447 216 300
604 318 300
67 692 300
37 616 300
236 569 300
363 130 300
269 264 300
268 204 300
552 509 300
374 297 300
235 639 300
455 575 300
585 390 300
519 503 300
45 129 300
617 457 300
426 448 300
651 33 300
373 180 300
118 54 300
184 390 300
429 500 300
645 479 300
491 475 300
43 448 300
650 225 300
552 633 300
119 646 300
205 281 300
162 84 300
154 469 300
506 336 300
16 313 300
54 669 300
171 632 300
110 610 300
621 420 300
634 263 300
455 66 300
547 226 300
68 485 300
298 338 300
101 234 300
345 636 300
448 500 300
75 645 300
574 97 300
327 238 300
440 218 300
221 53 300
371 166 300
107 683 300
281 571 300
665 10 300
170 277 300
46 187 300
155 382 300
428 671 300
549 439 300
37 556 300
497 578 300
540 672 300
521 343 300
476 491 300
417 606 300
689 158 300
576 396 300
444 67 300
154 641 300
656 255 300
636 245 300
176 169 300
196 328 300
13 222 300
644 377 300
44 12 300
43 558 300
287 159 300
91 54 300
512 387 300
279 562 300
269 537 300
61 243 300
658 495 300
357 565 300
188 497 300
478 111 300
129 615 300
662 351 300
117 313 300
638 271 300
357 453 300
537 341 300
466 325 300
64 452 300
291 683 300
254 128 300
277 100 300
645 393 300
188 161 300
159 324 300
115 587 300
136 516 300
122 547 300
129 165 300
534 332 300
421 494 300
182 560 300
347 362 300
280 410 300
73 351 300
476 309 300
434 646 300
542 157 300
171 134 300
595 150 300
348 112 300
95 464 300
337 674 300
161 466 300
612 553 300
371 50 300
654 350 300
501 102 300
347 577 300
400 13 300
606 450 300
237 630 300
2 676 300
515 141 300
239 275 300
337 627 300
62 497 300
82 638 300
81 545 300
376 445 300
27 635 300
35 252 300
15 376 300
