1000 1000 8 12300 11
768 558
206 558
906 442
977 273
291 467
632 469
982 30
862 995
677 314 70
848 991 70
699 526 70
687 546 70
187 453 70
988 642 70
30 381 70
957 505 70
118 273 70
794 337 70
146 221 70
718 619 70
194 878 70
735 858 70
624 218 70
896 86 70
170 644 70
219 999 70
652 719 70
100 729 70
125 905 70
476 540 70
671 468 70
809 793 70
937 294 70
663 332 70
820 222 70
68 624 70
630 927 70
928 66 70
678 93 70
106 609 70
490 148 70
569 225 70
5 360 70
62 281 70
958 988 70
522 280 70
531 57 70
496 846 70
104 742 70
933 130 70
615 830 70
569 172 70
609 250 70
568 63 70
842 568 70
516 970 70
512 155 70
642 575 70
672 994 70
64 465 70
216 71 70
150 446 70
19 388 70
202 913 70
509 962 70
16 653 70
967 587 70
324 420 70
885 972 70
132 897 70
882 544 70
514 352 70
33 691 70
194 496 70
261 310 70
784 133 70
559 655 70
23 97 70
710 892 70
255 264 70
195 887 70
637 319 70
244 995 70
1 983 70
157 772 70
190 62 70
732 101 70
642 572 70
837 859 70
907 803 70
340 778 70
647 999 70
89 623 70
873 539 70
1 557 70
379 866 70
786 519 70
541 522 70
634 553 70
249 800 70
921 337 70
150 661 70
534 509 70
482 101 70
119 859 70
702 640 70
569 457 70
122 120 70
630 799 70
263 12 70
294 839 70
530 951 70
945 851 70
466 844 70
551 304 70
390 421 70
600 931 70
299 680 70
466 799 70
909 519 70
949 270 70
327 188 70
615 588 70
360 756 70
119 102 70
637 570 70
864 239 70
592 663 70
533 995 70
480 63 70
985 36 70
34 517 70
859 224 70
157 775 70
754 240 70
123 179 70
729 829 70
400 44 70
484 356 70
415 794 70
102 134 70
755 374 70
456 85 70
40 777 70
699 707 70
544 837 70
905 409 70
581 751 70
923 584 70
52 549 70
965 443 70
923 55 70
307 999 70
454 666 70
992 688 70
882 700 70
815 939 70
184 510 70
377 520 70
290 832 70
728 404 70
424 74 70
916 776 70
823 236 70
557 451 70
721 588 70
182 41 70
654 236 70
641 781 70
45 546 70
257 17 70
74 726 70
558 567 70
716 966 70
685 992 70
680 626 70
641 656 70
320 108 70
906 74 70
926 783 70
401 870 70
117 566 70
672 482 70
480 162 70
447 466 70
959 968 70
906 961 70
873 403 70
601 936 70
375 168 70
93 632 70
322 314 70
693 567 70
483 8 70
334 161 70
911 872 70
715 947 70
924 20 70
137 527 70
340 516 70
310 296 70
73 387 70
236 125 70
979 265 70
817 422 70
11 539 70
396 690 70
267 659 70
546 168 70
961 184 70
627 353 70
796 172 70
828 260 70
963 674 70
490 736 70
703 107 70
869 125 70
224 943 70
566 43 70
93 527 70
918 275 70
363 351 70
350 21 70
241 182 70
468 433 70
316 776 70
539 842 70
15 92 70
799 402 70
225 229 70
75 735 70
554 45 70
805 126 70
769 353 70
346 628 70
709 755 70
809 249 70
712 553 70
157 903 70
881 564 70
502 124 70
121 165 70
545 914 70
616 510 70
539 769 70
975 668 70
116 89 70
898 416 70
861 363 70
48 396 70
216 924 70
435 267 70
293 225 70
495 163 70
122 192 70
618 173 70
196 182 70
718 765 70
301 603 70
812 259 70
266 496 70
245 400 70
87 103 70
258 681 70
1 621 70
805 776 70
240 243 70
397 852 70
907 497 70
87 133 70
521 481 70
660 228 70
323 877 70
152 530 70
281 937 70
792 717 70
548 496 70
484 571 70
612 868 70
304 338 70
427 0 70
837 737 70
476 340 70
259 482 70
431 87 70
119 115 70
713 114 70
15 538 70
837 37 70
949 48 70
23 19 70
888 725 70
100 443 70
300 316 70
751 289 70
928 52 70
303 492 70
729 590 70
122 412 70
331 0 70
290 526 70
32 236 70
360 543 70
182 19 70
715 412 70
404 263 70
623 909 70
425 646 70
607 293 70
314 765 70
68 768 70
499 10 70
83 719 70
550 567 70
472 80 70
178 426 70
148 213 70
91 716 70
879 735 70
942 34 70
777 49 70
250 228 70
401 7 70
544 195 70
341 474 70
524 83 70
279 249 70
47 163 70
60 352 70
145 910 70
294 111 70
521 732 70
7 222 70
798 777 70
398 604 70
634 749 70
562 354 70
897 662 70
157 730 70
258 189 70
431 255 70
971 250 70
556 819 70
229 516 70
675 481 70
469 648 70
836 425 70
542 583 70
696 397 70
731 364 70
188 749 70
975 366 70
321 426 70
934 78 70
498 333 70
790 221 70
313 688 70
763 273 70
671 541 70
852 634 70
455 740 70
767 829 70
114 949 70
222 205 70
347 672 70
250 717 70
175 268 70
676 919 70
327 268 70
477 850 70
150 501 70
253 474 70
292 70 70
522 65 70
539 859 70
520 416 70
845 421 70
369 676 70
406 779 70
178 440 70
996 637 70
367 71 70
601 94 70
286 958 70
945 653 70
54 136 70
743 807 70
102 631 70
956 781 70
935 846 70
936 113 70
400 526 70
264 172 70
415 919 70
401 559 70
23 162 70
643 761 70
632 707 70
6 670 70
289 879 70
247 503 70
844 17 70
127 774 70
963 271 70
888 530 70
71 966 70
356 801 70
494 51 70
678 997 70
632 422 70
761 498 70
253 73 70
209 618 70
880 896 70
560 679 70
107 744 70
193 934 70
630 933 70
892 753 70
174 165 70
851 494 70
196 202 70
791 634 70
801 861 70
621 476 70
